INF;I_GE;YOU_GE;HE_GE;WE_GE;YOU_PL_GE;THEY_GE;NOUN_RU;INF_RU;I_RU;YOU_RU;HE_RU;WE_RU;YOU_PL_RU;THEY_RU;TOPIC;EOL
საუბარი;მე ვსაუბრობ;შენ საუბრობ;ის საუბრობს;ჩვენ ვსაუბრობთ;თქვენ საუბრობთ;ისინი საუბრობენ;БЕСЕДА;БЕСЕДОВАТЬ;Я БЕСЕДУЮ;ТЫ БЕСЕДУЕШЬ;ОН БЕСЕДУЕТ;МЫ БЕСЕДУЕМ;ВЫ БЕСЕДУЕТЕ;ОНИ БЕСЕДУЮТ;RELATIONSHIPS;
შეწუხება;მე მაწუხებს;შენ გაწუხებს;მას აწუხებს;ჩვენ გვაწუხებს;თქვენ გაწუხებთ;მათ აწუხებთ;БЕСПОКОЙСТВО;БЕСПОКОИТЬ;МЕНЯ БЕСПОКОИТ;ТЕБЯ БЕСПОКОИТ;ЕГО БЕСПОКОИТ;НАС БЕСПОКОИТ;ВАС БЕСПОКОИТ;ИХ БЕСПОКОИТ;BODYFEELINGS;
შიში;მე მეშინია;შენ გეშინია;მას ეშინია;ჩვენ გვეშინია;თქვენ გეშინიათ;მათ ეშინიათ;СТРАХ;БОЯТЬСЯ;Я БОЮСЬ;ТЫ БОИШЬСЯ;ОН БОИТСЯ;МЫ БОИМСЯ;ВЫ БОИТЕСЬ;ОНИ БОЯТСЯ;BODYFEELINGS;
პარსვა;მე ვიპარსავ;შენ იპარსავ;ის იპარსავს;ჩვენ ვიპარსავთ;თქვენ იპარსავთ;ისინი იპარსავენ;БРИТЬЁ;БРИТЬСЯ;Я БРЕЮСЬ;ТЫ БРЕЕШЬСЯ;ОН БРЕЕТСЯ;МЫ БРЕЕМСЯ;ВЫ БРЕЕТЕСЬ;ОНИ БРЕЮТСЯ;CLEAN;
მიმართლება;მე მიმართლებს;შენ გიმართლებს;მას უმართლებს;ჩვენ გვიმართლებს;თქვენ გიმართლებთ;მათ უმართლებთ;ВЕЗЕНИЕ;БЫТЬ ВЕЗУЧИМ;МНЕ ВЕЗЕТ;ТЕБЕ ВЕЗЕТ;ЕМУ ВЕЗЕТ;НАМ ВЕЗЕТ;ВАМ ВЕЗЕТ;ИМ ВЕЗЕТ;LIFE;
ხედვა;მე ვხედავ;შენ ხედავ;ის ხედავს;ჩვენ ვხედავთ;თქვენ ხედავთ;ისინი ხედავენ;ВИДЕНИЕ;ВИДЕТЬ;Я ВИЖУ;ТЫ ВИДИШЬ;ОН ВИДИТ;МЫ ВИДИМ;ВЫ ВИДИТЕ;ОНИ ВИДЯТ;BODYFEELINGS;
ჩართვა;მე ვრთავ;შენ რთავ;ის რთავს;ჩვენ ვრთავთ;თქვენ რთავთ;ისინი რთავენ;ВКЛЮЧЕНИЕ;ВКЛЮЧАТЬ;Я ВКЛЮЧАЮ;ТЫ ВКЛЮЧАЕШЬ;ОН ВКЛЮЧАЕТ;МЫ ВКЛЮЧАЕМ;ВЫ ВКЛЮЧАЕТЕ;ОНИ ВКЛЮЧАЮТ;MISC;
გახსენება;მე ვიხსენებ;შენ იხსენებ;ის იხსენებს;ჩვენ ვიხსენებთ;თქვენ იხსენებთ;ისინი იხსენებენ;ВСПОМИНАНИЕ;ВСПОМИНАТЬ;Я ВСПОМИНАЮ;ТЫ ВСПОМИНАЕШЬ;ОН ВСПОМИНАЕТ;МЫ ВСПОМИНАЕМ;ВЫ ВСПОМИНАЕТЕ;ОНИ ВСПОМИНАЮТ;BODYFEELINGS;
ადგომა;მე ვდგები;შენ დგები;ის დგების;ჩვენ ვდგებით;თქვენ დგებით;ისინი დგებიან;ВСТАВАНИЕ;ВСТАВАТЬ;Я ВСТАЮ;ТЫ ВСТАЕШЬ;ОН ВСТАЕТ;МЫ ВСТАЕМ;ВЫ ВСТАЕТЕ;ОНИ ВСТАЮТ;TIMEANDDATE;
შეხვედრა;მე ვხვდები;შენ ხვდები;ის ხვდება;ჩვენ ვხვდებით;თქვენ ხვდებით;ისინი ხვდებიან;ВСТРЕЧА;ВСТРЕЧАТЬСЯ;Я ВСТРЕЧАЮСЬ;ТЫ ВСТРЕЧАЕШЬСЯ;ОН ВСТРЕЧАЕТСЯ;МЫ ВСТРЕЧАЕМСЯ;ВЫ ВСТРЕЧАЕТЕСЬ;ОНИ ВСТРЕЧАЮТСЯ;RELATIONSHIPS;
